year,zone,ecoregion,suppressed,unsuppressed
1989,int,3e,8,0
1990,int,3e,1,1
1991,int,3e,16,3
1992,int,3e,8,1
1993,int,3e,0,0
1994,int,3e,7,0
1995,int,3e,18,6
1996,int,3e,8,0
1997,int,3e,10,3
1998,int,3e,17,2
1999,int,3e,11,2
2000,int,3e,13,0
2001,int,3e,21,0
2002,int,3e,5,0
2003,int,3e,5,2
2004,int,3e,4,0
1989,mea,3e,5,0
1990,mea,3e,2,0
1991,mea,3e,21,3
1992,mea,3e,11,2
1993,mea,3e,1,0
1994,mea,3e,16,0
1995,mea,3e,17,6
1996,mea,3e,9,2
1997,mea,3e,9,3
1998,mea,3e,7,1
1999,mea,3e,1,0
2000,mea,3e,6,0
2001,mea,3e,2,1
2002,mea,3e,4,1
2003,mea,3e,0,0
2004,mea,3e,0,0
1989,int,3w,14,0
1990,int,3w,5,0
1991,int,3w,12,0
1992,int,3w,2,4
1993,int,3w,2,0
1994,int,3w,14,0
1995,int,3w,44,13
1996,int,3w,32,41
1997,int,3w,14,0
1998,int,3w,22,2
1999,int,3w,6,3
2000,int,3w,4,0
2001,int,3w,8,0
2002,int,3w,6,1
2003,int,3w,7,3
2004,int,3w,4,0
1989,mea,3w,20,1
1990,mea,3w,0,0
1991,mea,3w,3,0
1992,mea,3w,0,0
1993,mea,3w,0,0
1994,mea,3w,0,0
1995,mea,3w,17,4
1996,mea,3w,10,11
1997,mea,3w,2,0
1998,mea,3w,3,2
1999,mea,3w,1,0
2000,mea,3w,0,0
2001,mea,3w,0,0
2002,mea,3w,2,1
2003,mea,3w,1,1
2004,mea,3w,1,0
1989,int,3s,4,0
1990,int,3s,0,0
1991,int,3s,1,0
1992,int,3s,1,0
1993,int,3s,1,0
1994,int,3s,1,1
1995,int,3s,6,1
1996,int,3s,4,0
1997,int,3s,0,1
1998,int,3s,2,0
1999,int,3s,6,0
2000,int,3s,1,2
2001,int,3s,5,0
2002,int,3s,3,5
2003,int,3s,8,0
2004,int,3s,1,0
1989,mea,3s,16,6
1990,mea,3s,2,0
1991,mea,3s,10,0
1992,mea,3s,4,0
1993,mea,3s,2,2
1994,mea,3s,7,2
1995,mea,3s,16,11
1996,mea,3s,10,10
1997,mea,3s,2,0
1998,mea,3s,7,1
1999,mea,3s,7,4
2000,mea,3s,0,0
2001,mea,3s,1,1
2002,mea,3s,1,2
2003,mea,3s,2,4
2004,mea,3s,0,0